name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Call Out My Name,The Weeknd,0.489,0.598,-4.928999999999999,0.036000000000000004,0.218,0.0,0.35,0.172,134.045
Ric Flair Drip (& Metro Boomin),Offset,0.88,0.428,-8.28,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007
Happier,Marshmello,0.687,0.792,-2.7489999999999997,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015
Too Good At Goodbyes,Sam Smith,0.698,0.375,-8.279,0.0491,0.652,0.0,0.17300000000000001,0.534,91.92
Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,-5.042,0.22399999999999998,0.147,0.0,0.109,0.755,133.123
Believer,Imagine Dragons,0.7759999999999999,0.78,-4.374,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.9309999999999999,0.387,-9.127,0.41200000000000003,0.08800000000000001,0.0,0.136,0.376,125.978
Rise,Jonas Blue,0.687,0.785,-4.65,0.0333,0.327,0.0,0.203,0.655,106.046
Body (feat. brando),Loud Luxury,0.752,0.764,-4.399,0.038,0.0476,9.44e-05,0.0543,0.5820000000000001,121.958
XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,-6.3660000000000005,0.231,0.00264,0.0,0.109,0.401,155.096
Sin Pijama,Becky G,0.7909999999999999,0.745,-3.695,0.0464,0.354,2.9299999999999997e-05,0.10400000000000001,0.82,94.014
2002,Anne-Marie,0.6970000000000001,0.6829999999999999,-2.8810000000000002,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133
Nonstop,Drake,0.912,0.41200000000000003,-8.074,0.124,0.0164,0.013000000000000001,0.10400000000000001,0.42200000000000004,154.983
F??k Love (feat. Trippie Redd),XXXTENTACION,0.797,0.5329999999999999,-9.74,0.0412,0.0172,0.000152,0.10300000000000001,0.32899999999999996,131.036
In My Blood,Shawn Mendes,0.622,0.7120000000000001,-7.321000000000001,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025
Silence,Marshmello,0.52,0.7609999999999999,-3.093,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971
God is a woman,Ariana Grande,0.602,0.6579999999999999,-5.934,0.0558,0.0233,5.9999999999999995e-05,0.237,0.268,145.031
D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.6809999999999999,0.7879999999999999,-4.323,0.0785,0.0482,0.0,0.0753,0.8390000000000001,170.019
Flames,David Guetta,0.631,0.649,-5.892,0.0385,0.0817,3.8e-06,0.0934,0.42100000000000004,93.95
What Lovers Do,Maroon 5,0.799,0.597,-5.131,0.0611,0.0788,5.66e-06,0.1,0.419,110.001
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.7979999999999999,-4.206,0.22899999999999998,0.153,3.33e-06,0.0618,0.591,95.948
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.6629999999999999,0.708,-4.154,0.0473,0.0337,0.0,0.0841,0.742,103.073
Feel It Still,Portugal. The Man,0.8009999999999999,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028
Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,-4.979,0.09300000000000001,0.0762,2.17e-05,0.111,0.188,100.584
Walk It Talk It,Migos,0.909,0.628,-5.456,0.201,0.0739,0.0,0.10800000000000001,0.406,145.905
Him & I (with Halsey),G-Eazy,0.589,0.731,-6.343,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999
Candy Paint,Post Malone,0.67,0.654,-5.944,0.153,0.627,1.02e-06,0.071,0.43799999999999994,180.024
Congratulations,Post Malone,0.63,0.804,-4.183,0.0363,0.215,0.0,0.253,0.49200000000000005,123.146
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,-3.112,0.0589,0.165,0.0,0.0501,0.794,94.96799999999999
Criminal,Natti Natasha,0.8140000000000001,0.813,-3.023,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001,79.997
Plug Walk,Rich The Kid,0.8759999999999999,0.519,-6.531000000000001,0.14300000000000002,0.20199999999999999,0.0,0.10800000000000001,0.158,94.98100000000001
lovely (with Khalid),Billie Eilish,0.35100000000000003,0.29600000000000004,-10.109,0.0333,0.934,0.0,0.095,0.12,115.28399999999999
Stir Fry,Migos,0.815,0.816,-5.474,0.26899999999999996,0.00299,0.0,0.159,0.498,181.967
HUMBLE.,Kendrick Lamar,0.9079999999999999,0.621,-6.638,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011
Vaina Loca,Ozuna,0.754,0.805,-4.249,0.0752,0.315,0.0,0.203,0.555,93.98299999999999
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.5870000000000001,0.299,-7.365,0.0263,0.779,0.0,0.12300000000000001,0.35600000000000004,94.992
Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,-6.0729999999999995,0.247,0.32799999999999996,1.47e-05,0.198,0.748,198.075
Young Dumb & Broke,Khalid,0.7979999999999999,0.539,-6.351,0.0421,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998
S?guelo Bailando,Ozuna,0.855,0.664,-7.11,0.0607,0.165,3.97e-05,0.0937,0.626,98.015
Downtown,Anitta,0.775,0.679,-4.985,0.135,0.18,7.26e-05,0.068,0.619,166.00799999999998
Bella,Wolfine,0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.8440000000000001,94.016
Promises (with Sam Smith),Calvin Harris,0.7809999999999999,0.768,-5.9910000000000005,0.0394,0.0119,4.91e-06,0.325,0.486,123.07
Yes Indeed,Lil Baby,0.9640000000000001,0.34600000000000003,-9.309,0.53,0.035,0.0,0.10800000000000001,0.562,119.958
I Like Me Better,Lauv,0.752,0.505,-7.621,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97
This Is Me,Keala Settle,0.284,0.7040000000000001,-7.276,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702
Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,-7.066,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953
Rewrite The Stars,Zac Efron,0.684,0.619,-7.005,0.0386,0.0716,0.0,0.122,0.284,125.046
I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.6579999999999999,-6.318,0.0456,0.245,3.77e-06,0.0919,0.33,105.07600000000001
No Brainer,DJ Khaled,0.552,0.76,-4.706,0.342,0.0733,0.0,0.0865,0.639,135.702
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.43700000000000006,-6.593,0.039,0.10099999999999999,1.27e-06,0.106,0.0967,180.043
Be Alright,Dean Lewis,0.5529999999999999,0.586,-6.319,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684
