Country name,Regional indicator,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Finland,Western Europe,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,2.7628350260000003
Denmark,Western Europe,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,2.432740688
Switzerland,Western Europe,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2.35026741
Iceland,Western Europe,10.77255917,0.9746695759999999,73.0,0.948891878,0.246944219,0.7117097379999999,2.460688114
Norway,Western Europe,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,2.168266296
Netherlands,Western Europe,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,2.352117062
Sweden,Western Europe,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,2.246299267
New Zealand,North America and ANZ,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,2.128108025
Austria,Western Europe,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,2.398446083
Luxembourg,Western Europe,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,2.153700352
Canada,North America and ANZ,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.124770768,0.390843362,2.195269108
Australia,North America and ANZ,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,2.129804134
United Kingdom,Western Europe,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.43591591700000004,2.2367219919999997
Israel,Middle East and North Africa,10.41752529,0.913571239,73.20025635,0.7475805879999999,0.10259372,0.78085506,2.713358402
Costa Rica,Latin America and Caribbean,9.658156395,0.901545942,71.29985046,0.9347389340000001,-0.10242971,0.7863324279999999,2.953135014
Ireland,Western Europe,11.16097832,0.9420815709999999,72.30078888,0.8869829770000001,0.145784974,0.357184172,1.943878174
Germany,Western Europe,10.7328186,0.898874462,72.20201874,0.867371082,0.08017938599999999,0.456422031,2.2952494619999997
United States,North America and ANZ,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.6997153159999999,2.344124794
Czech Republic,Central and Eastern Europe,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,2.796808243
Belgium,Western Europe,10.673639300000001,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,2.348626614
United Arab Emirates,Middle East and North Africa,11.1099987,0.8491811159999999,67.08278656,0.941345513,0.123450845,0.594502211,2.166965961
Malta,Western Europe,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,1.9520120619999999
France,Western Europe,10.58422279,0.937103748,73.80193329,0.8254676459999999,-0.130641967,0.583521128,2.053198338
Mexico,Latin America and Caribbean,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,2.6625401969999998
Taiwan Province of China,East Asia,10.77568531,0.894309103,69.59999847,0.77153033,-0.07319869799999999,0.73188293,2.1602387430000003
Uruguay,Latin America and Caribbean,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2.167276382
Saudi Arabia,Middle East and North Africa,10.79781246,0.874067068,66.30514526,0.854191244,-0.16869506199999998,0.682619512,2.203118801
Spain,Western Europe,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714000000005,0.765859902,1.997088432
Guatemala,Latin America and Caribbean,8.924805641,0.8166214820000001,64.8089447,0.9081475729999999,-0.042938665,0.783237457,2.882723093
Italy,Western Europe,10.48183632,0.8898785709999999,73.60168457,0.66465199,-0.04346099900000001,0.873404682,2.249505997
Singapore,Southeast Asia,11.39552116,0.9102689620000001,76.80458069,0.926645339,0.029879224,0.109784193,0.9370317459999999
Brazil,Latin America and Caribbean,9.56643486,0.896723807,66.48016357,0.799804807,-0.10181239199999999,0.7706012729999999,2.571860313
Slovenia,Central and Eastern Europe,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.888586521
El Salvador,Latin America and Caribbean,8.909075737,0.8060922620000001,66.10826111,0.833805263,-0.12107297800000001,0.754319906,2.937191725
Kosovo,Central and Eastern Europe,9.204429626,0.8207265140000001,63.88555527,0.861535907,0.19093376399999998,0.922328293,2.7369027139999997
Panama,Latin America and Caribbean,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,2.221176147
Slovakia,Central and Eastern Europe,10.34774971,0.9224937559999999,68.90634155,0.7499526740000001,-0.12440930300000001,0.918096125,2.256422043
Uzbekistan,Commonwealth of Independent States,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,2.073346615
Chile,Latin America and Caribbean,10.0320549,0.879713595,69.90061951,0.7448962929999999,-0.065668367,0.838239431,2.283012867
Bahrain,Middle East and North Africa,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393470999999999,1.751917362
Lithuania,Central and Eastern Europe,10.34362602,0.926107109,67.29407501,0.747381449,-0.21972529600000001,0.809583843,2.2381460669999997
Trinidad and Tobago,Latin America and Caribbean,10.26000214,0.91529417,63.5,0.8579071159999999,0.000526841,0.9122306109999999,2.190695763
Poland,Central and Eastern Europe,10.26512432,0.874257445,69.31113434,0.8620557790000001,-0.205084071,0.6869270209999999,2.056797981
Colombia,Latin America and Caribbean,9.500369072,0.884440243,67.69958496,0.8361799120000001,-0.161235645,0.86457181,2.4216566090000002
Cyprus,Western Europe,10.40570259,0.8059962390000001,73.70222473,0.7798582909999999,0.043731495999999995,0.8562717440000001,2.032334805
Nicaragua,Latin America and Caribbean,8.493160247999999,0.8574970359999999,67.50717926,0.8639028670000001,0.020959141,0.665950119,2.496081114
Romania,Central and Eastern Europe,10.107584,0.8251615170000001,67.20723724,0.842823207,-0.19781521,0.9343002440000001,2.4127497669999998
Kuwait,Middle East and North Africa,11.08982468,0.8464752440000001,66.76764679,0.8723664879999999,-0.100184701,0.7608490590000001,1.8401679990000002
